TimestampLocal,TimestampLocal.total_count
2021-07-27 0:00,3070
2021-04-19 0:00,3047
2021-06-15 0:00,3137
2021-08-02 0:00,1579
2021-12-26 0:00,670
2021-12-31 0:00,1393
2021-01-26 0:00,2917
2021-07-01 0:00,1173
2021-02-05 0:00,2845
2021-10-18 0:00,7110
2021-03-04 0:00,3118
2021-11-19 0:00,6132
2021-07-22 0:00,3317
2021-10-16 0:00,2704
2021-12-15 0:00,5503
2021-03-25 0:00,3255
2021-08-23 0:00,3046
2021-12-19 0:00,1581
2021-09-01 0:00,3979
2021-11-02 0:00,7313
2021-05-12 0:00,2825
2021-01-20 0:00,2758
2021-06-20 0:00,1810
2021-09-09 0:00,6676
2021-05-15 0:00,1851
2021-01-08 0:00,2381
2021-02-15 0:00,788
2021-06-04 0:00,2677
2021-12-01 0:00,6987
2021-01-02 0:00,937
2021-07-31 0:00,1080
2021-05-20 0:00,2995
2021-10-15 0:00,6620
2021-10-08 0:00,6355
2021-07-08 0:00,3219
2021-11-26 0:00,6770
2021-09-02 0:00,4139
2021-11-15 0:00,6430
2021-03-12 0:00,2577
2021-12-28 0:00,1548
2021-02-21 0:00,1146
2021-03-10 0:00,3159
2021-04-15 0:00,3283
2021-02-07 0:00,1265
2021-04-01 0:00,2766
2021-01-23 0:00,1412
2021-01-15 0:00,2806
2021-12-22 0:00,2349
2021-02-23 0:00,2644
2021-02-11 0:00,2971
2021-12-30 0:00,1214
2021-07-17 0:00,1362
2021-11-21 0:00,1921
2021-09-28 0:00,7283
2021-08-29 0:00,3216
2021-10-03 0:00,2347
2021-04-24 0:00,1284
2021-04-21 0:00,2941
2021-05-01 0:00,1238
2021-05-24 0:00,583
2021-01-13 0:00,2611
2021-09-04 0:00,3591
2021-05-30 0:00,882
2021-03-07 0:00,1033
2021-08-15 0:00,1390
2021-05-22 0:00,1906
2021-08-11 0:00,3544
2021-09-22 0:00,7382
2021-01-21 0:00,2874
2021-03-23 0:00,2873
2021-01-22 0:00,2942
2021-04-11 0:00,1135
2021-07-24 0:00,1887
2021-12-18 0:00,2322
2021-12-29 0:00,1592
2021-06-06 0:00,715
2021-05-23 0:00,838
2021-09-25 0:00,2725
2021-03-05 0:00,3023
2021-09-17 0:00,6321
2021-08-30 0:00,3576
2021-12-13 0:00,5045
2021-04-27 0:00,2661
2021-10-05 0:00,7160
2021-04-26 0:00,2497
2021-01-19 0:00,3048
2021-07-10 0:00,1681
2021-02-22 0:00,2888
2021-02-20 0:00,1213
2021-03-02 0:00,2725
2021-10-10 0:00,1646
2021-09-20 0:00,6922
2021-04-17 0:00,2531
2021-01-16 0:00,1345
2021-09-27 0:00,7395
2021-06-01 0:00,3099
2021-12-25 0:00,526
2021-01-10 0:00,991
2021-05-05 0:00,2462
2021-09-08 0:00,7180
2021-07-09 0:00,3231
2021-02-24 0:00,2824
2021-12-17 0:00,4136
2021-09-29 0:00,7586
2021-11-18 0:00,7576
2021-06-14 0:00,3010
2021-08-04 0:00,3279
2021-10-30 0:00,3327
2021-03-17 0:00,2765
2021-10-20 0:00,7396
2021-10-12 0:00,6727
2021-09-11 0:00,1963
2021-07-21 0:00,3383
2021-02-16 0:00,2982
2021-08-26 0:00,3236
2021-07-03 0:00,1663
2021-10-07 0:00,7329
2021-01-03 0:00,1022
2021-11-13 0:00,2161
2021-06-22 0:00,3195
2021-03-29 0:00,2971
2021-02-17 0:00,2889
2021-06-11 0:00,2900
2021-02-14 0:00,905
2021-07-02 0:00,2460
2021-11-17 0:00,7427
2021-11-28 0:00,1917
2021-09-24 0:00,6546
2021-08-19 0:00,3178
2021-07-05 0:00,2906
2021-09-30 0:00,2012
2021-02-27 0:00,1277
2021-07-19 0:00,3119
2021-12-27 0:00,1445
2021-02-28 0:00,903
2021-01-17 0:00,1071
2021-05-03 0:00,2596
2021-07-20 0:00,3324
2021-05-18 0:00,3245
2021-10-04 0:00,6748
2021-05-14 0:00,3092
2021-09-13 0:00,6647
2021-12-23 0:00,1853
2021-05-31 0:00,2508
2021-09-16 0:00,6903
2021-02-12 0:00,2422
2021-03-28 0:00,1108
2021-07-25 0:00,1580
2021-04-25 0:00,1079
2021-01-28 0:00,2985
2021-06-30 0:00,3357
2021-04-22 0:00,3039
2021-11-07 0:00,2283
2021-06-10 0:00,2859
2021-06-16 0:00,3086
2021-05-09 0:00,962
2021-04-23 0:00,2595
2021-10-29 0:00,6452
2021-08-09 0:00,3203
2021-07-26 0:00,2813
2021-03-14 0:00,1091
2021-09-15 0:00,7481
2021-08-14 0:00,1751
2021-10-23 0:00,3526
2021-03-09 0:00,2962
2021-02-18 0:00,2953
2021-10-02 0:00,2335
2021-07-12 0:00,3003
2021-05-13 0:00,3052
2021-12-16 0:00,4950
2021-01-11 0:00,2599
2021-09-14 0:00,7214
2021-10-26 0:00,6954
2021-10-28 0:00,6927
2021-08-21 0:00,1438
2021-06-17 0:00,3292
2021-08-24 0:00,3442
2021-07-29 0:00,3251
2021-06-13 0:00,679
2021-02-25 0:00,2702
2021-09-26 0:00,1875
2021-12-02 0:00,6995
2021-05-16 0:00,1647
2021-01-30 0:00,1420
2021-01-14 0:00,2788
2021-11-08 0:00,6563
2021-11-04 0:00,7213
2021-06-12 0:00,1098
2021-03-19 0:00,2690
2021-05-08 0:00,1004
2021-12-24 0:00,1235
2021-01-07 0:00,2408
2021-09-19 0:00,1866
2021-09-12 0:00,1805
2021-05-21 0:00,2835
2021-04-16 0:00,3200
2021-03-15 0:00,2779
2021-04-07 0:00,2888
2021-10-21 0:00,6508
2021-03-24 0:00,3155
2021-05-04 0:00,2737
2021-10-31 0:00,2144
2021-03-08 0:00,2487
2021-06-24 0:00,3367
2021-11-05 0:00,6702
2021-08-05 0:00,3164
2021-11-27 0:00,2619
2021-04-20 0:00,2846
2021-06-28 0:00,3390
2021-06-19 0:00,1269
2021-11-16 0:00,7334
2021-08-20 0:00,3077
2021-09-21 0:00,7414
2021-11-03 0:00,7580
2021-12-21 0:00,3188
2021-01-29 0:00,2603
2021-10-13 0:00,7652
2021-04-14 0:00,3378
2021-03-20 0:00,1209
2021-09-05 0:00,1853
2021-12-14 0:00,5208
2021-01-09 0:00,1119
2021-08-12 0:00,3686
2021-02-03 0:00,2740
2021-02-10 0:00,2935
2021-02-08 0:00,2811
2021-06-09 0:00,2729
2021-03-18 0:00,2828
2021-03-27 0:00,1429
2021-05-27 0:00,2658
2021-08-18 0:00,3161
2021-07-06 0:00,3288
2021-07-23 0:00,3103
2021-04-03 0:00,1098
2021-11-29 0:00,7027
2021-06-25 0:00,3287
2021-09-03 0:00,3604
2021-04-08 0:00,3168
2021-02-06 0:00,1367
2021-05-10 0:00,2566
2021-10-14 0:00,6983
2021-08-10 0:00,3393
2021-10-09 0:00,2200
2021-04-06 0:00,3235
2021-01-05 0:00,2469
2021-10-06 0:00,7258
2021-12-10 0:00,4590
2021-03-11 0:00,3067
2021-11-09 0:00,6882
2021-02-09 0:00,3013
2021-04-04 0:00,1316
2021-11-12 0:00,3523
2021-04-12 0:00,3078
2021-12-04 0:00,2680
2021-08-22 0:00,1273
2021-09-10 0:00,6133
2021-10-27 0:00,6873
2021-08-27 0:00,3252
2021-08-31 0:00,3661
2021-11-14 0:00,1980
2021-07-28 0:00,3217
2021-08-01 0:00,1064
2021-10-22 0:00,5951
2021-05-02 0:00,1166
2021-06-03 0:00,2928
2021-11-10 0:00,4870
2021-03-26 0:00,3057
2021-07-04 0:00,1320
2021-08-07 0:00,1321
2021-01-27 0:00,2462
2021-04-13 0:00,3062
2021-01-25 0:00,2979
2021-11-20 0:00,2521
2021-03-16 0:00,2753
2021-01-04 0:00,2147
2021-05-06 0:00,2830
2021-08-06 0:00,2844
2021-07-07 0:00,3289
2021-06-23 0:00,3017
2021-04-29 0:00,2970
2021-12-03 0:00,5955
2021-07-15 0:00,3318
2021-09-07 0:00,5708
2021-09-06 0:00,2142
2021-01-12 0:00,2594
2021-02-19 0:00,2948
2021-06-29 0:00,3330
2021-05-25 0:00,2759
2021-12-09 0:00,4955
2021-08-03 0:00,3131
2021-07-11 0:00,1478
2021-07-18 0:00,1526
2021-02-02 0:00,2525
2021-10-11 0:00,1431
2021-03-13 0:00,1467
2021-10-19 0:00,7650
2021-01-31 0:00,1070
2021-05-19 0:00,2973
2021-08-13 0:00,2828
2021-10-17 0:00,2279
2021-05-26 0:00,2935
2021-09-23 0:00,7336
2021-04-30 0:00,2801
2021-08-16 0:00,2922
2021-12-11 0:00,3703
2021-01-01 0:00,454
2021-01-06 0:00,2164
2021-03-31 0:00,3163
2021-10-25 0:00,6442
2021-02-13 0:00,965
2021-07-14 0:00,3491
2021-06-07 0:00,2461
2021-06-02 0:00,3251
2021-04-18 0:00,1835
2021-04-02 0:00,982
2021-01-18 0:00,2624
2021-11-06 0:00,2549
2021-03-06 0:00,1195
2021-03-01 0:00,2784
2021-11-23 0:00,7149
2021-07-16 0:00,3061
2021-05-28 0:00,2748
2021-07-13 0:00,3401
2021-04-28 0:00,2743
2021-05-07 0:00,2566
2021-06-27 0:00,1902
2021-06-21 0:00,3347
2021-04-09 0:00,2880
2021-11-25 0:00,7043
2021-12-07 0:00,6633
2021-10-01 0:00,6165
2021-06-18 0:00,2999
2021-12-12 0:00,2690
2021-07-30 0:00,2818
2021-11-30 0:00,7025
2021-05-17 0:00,3117
2021-03-22 0:00,3084
2021-04-10 0:00,1412
2021-12-08 0:00,5326
2021-03-21 0:00,1141
2021-02-04 0:00,2707
2021-06-05 0:00,1044
2021-02-26 0:00,2884
2021-10-24 0:00,2108
2021-12-06 0:00,5529
2021-01-24 0:00,1142
2021-06-26 0:00,2243
2021-04-05 0:00,1080
2021-11-24 0:00,7236
2021-08-08 0:00,1032
2021-08-17 0:00,3058
2021-11-01 0:00,6796
2021-11-22 0:00,6487
2021-02-01 0:00,2651
2021-12-20 0:00,3591
2021-03-03 0:00,3012
2021-11-11 0:00,1490
2021-05-11 0:00,2684
2021-12-05 0:00,2579
2021-03-30 0:00,3125
2021-05-29 0:00,1800
2021-08-25 0:00,3652
2021-08-28 0:00,1941
2021-06-08 0:00,2625
2021-09-18 0:00,2587
